sku,producto_talla_id,sucursal_id,sucursal_alias,sucursal_nombre,articulo,talla,stock_legacy,stock_lotes,stock_kardex,ajuste_necesario,direccion
4826021,94568,2,PAO1,,2062,38,1,1,3,0,SIN_CAMBIO
4805897,95110,2,PAO1,,2077,41,3,1,7,-2,DISMINUIR
4804007,332852,2,PAO1,,A15,31,2,1,4,-1,DISMINUIR
4801526,586781,2,PAO1,,ZM22-12082-90,41,2,1,4,-1,DISMINUIR
4773052,285794,2,PAO1,,788,39,1,0,2,-1,DISMINUIR
4806091,541133,2,PAO1,,S402A0767-B,40,2,1,5,-1,DISMINUIR
4790652,362952,2,PAO1,,BOLSA GENERO,00,491,197,698,-294,DISMINUIR
4811146,462050,2,PAO1,,H-182,37,2,2,4,0,SIN_CAMBIO
4818371,158352,2,PAO1,,3334-20,38,5,4,10,-1,DISMINUIR
4797676,535685,2,PAO1,,R72-1,35,2,0,3,-2,DISMINUIR
4813834,423712,2,PAO1,,FC61153-91,38,2,1,4,-1,DISMINUIR
4822617,535109,2,PAO1,,R1905,38,1,2,4,1,AUMENTAR
4697635,266584,2,PAO1,,658,40,2,1,4,-1,DISMINUIR
4821405,80905,2,PAO1,,183004-WHT,42,2,1,4,-1,DISMINUIR
4730081,280134,2,PAO1,,73690-WHT,38,2,1,4,-1,DISMINUIR
4820692,88213,6,NICK1,,1BM02488-013,10,1,0,2,-1,DISMINUIR
4809092,24109,6,NICK1,,1149,"4,0",11,6,19,-5,DISMINUIR
4819216,424285,6,NICK1,,FD6476-600,"7,5",4,3,11,-1,DISMINUIR
4812815,362969,6,NICK1,,BOLSA REAL,00,939,538,1746,-401,DISMINUIR
4821172,507530,6,NICK1,,MEDIA POLYESTER ECO AD,00,37,43,92,6,AUMENTAR
4790354,460543,6,NICK1,,GZ5921,"8,0",1,1,6,0,SIN_CAMBIO
4744685,51316,6,NICK1,,1361700-002,S,1,0,3,-1,DISMINUIR
4748432,52628,6,NICK1,,1370542-012,M,2,2,5,0,SIN_CAMBIO
4827695,373505,6,NICK1,,CCPOLV2636NE,Xl,1,0,2,-1,DISMINUIR
4809094,24349,6,NICK1,,1163,"4,0",2,3,6,1,AUMENTAR
4828361,496777,6,NICK1,,KD4245,00,3,9,14,6,AUMENTAR
4827095,485617,6,NICK1,,IM1652-002,"7,5",1,0,2,-1,DISMINUIR
4756366,231066,6,NICK1,,533263 01,S,4,3,8,-1,DISMINUIR
4807656,516135,6,NICK1,,P7310-407Q88,L,1,0,2,-1,DISMINUIR
4827247,426912,6,NICK1,,FQ1833-401,"8,5",1,1,3,0,SIN_CAMBIO
4782078,527379,4,PAO3,,PI-74503500000765,39,1,2,3,1,AUMENTAR
4790652,362953,4,PAO3,,BOLSA GENERO,00,1731,759,2755,-972,DISMINUIR
4802934,486760,4,PAO3,,IX7989,00,5,7,13,2,AUMENTAR
4811813,124861,4,PAO3,,275-5596,36,4,0,5,-4,DISMINUIR
4830335,589630,4,PAO3,,224-0385,36,4,0,5,-4,DISMINUIR
4744021,202787,4,PAO3,,45-1,00,933,967,1939,34,AUMENTAR
4832414,599105,4,PAO3,,6G30,38,2,0,4,-2,DISMINUIR
4831867,597391,4,PAO3,,5Y44-1,37,1,0,2,-1,DISMINUIR
4816074,249974,4,PAO3,,5T23-1,37,2,2,6,0,SIN_CAMBIO
4828995,591913,4,PAO3,,881-6785,43,1,0,2,-1,DISMINUIR
4788441,549167,4,PAO3,,SS24PO103,39,2,2,5,0,SIN_CAMBIO
4776571,521252,4,PAO3,,PI-13018500000280,38,4,4,9,0,SIN_CAMBIO
4782390,98535,4,PAO3,,2106.1041.13488.16072,21,1,1,3,0,SIN_CAMBIO
4790997,455757,4,PAO3,,GW6468,"8,0",2,1,4,-1,DISMINUIR
4819867,195372,4,PAO3,,406-0069,37,3,2,6,-1,DISMINUIR
4823918,154147,4,PAO3,,314089L-WMLT,37,2,1,5,-1,DISMINUIR
4821780,147276,4,PAO3,,303982L-BKPK,36,1,0,3,-1,DISMINUIR
4825499,233119,4,PAO3,,5500.112.9569-15745,37,2,1,5,-1,DISMINUIR
4771860,477321,4,PAO3,,IC1311,L,19,19,39,0,SIN_CAMBIO
4819240,553711,4,PAO3,,SX7676-100,L,11,10,22,-1,DISMINUIR
4810624,490448,4,PAO3,,JF8541,XS,1,2,3,1,AUMENTAR
4788440,549164,4,PAO3,,SS24PO103,38,3,2,6,-1,DISMINUIR
4788392,549143,4,PAO3,,SS24PO102,38,2,2,5,0,SIN_CAMBIO
4823632,277231,4,PAO3,,7203.102.29986-15745,35,1,0,2,-1,DISMINUIR
4783921,554378,4,PAO3,,T2110,38,1,0,2,-1,DISMINUIR
4816249,116566,5,PAO4,,24-29,36,1,3,3,2,AUMENTAR
4790652,362948,5,PAO4,,BOLSA GENERO,00,99,0,109,-99,DISMINUIR
4802539,177539,5,PAO4,,384-0606,37,1,0,2,-1,DISMINUIR
4782505,263824,5,PAO4,,6469.100.7286.15745,35,1,0,2,-1,DISMINUIR
4405472,377401,5,PAO4,,CH153,00,3,0,6,-3,DISMINUIR
4705210,278073,5,PAO4,,728-1190,39,1,1,3,0,SIN_CAMBIO
4805442,300730,5,PAO4,,8360.353.26508-23146,35,1,0,2,-1,DISMINUIR
4803458,488702,3,PAO2,,J0628,44,1,0,2,-1,DISMINUIR
4818417,89559,3,PAO2,,2.20.00,00,12,14,31,2,AUMENTAR
4826831,225211,3,PAO2,,5207015179799,00,7,7,16,0,SIN_CAMBIO
4827985,363063,3,PAO2,,BOTELLA B,00,6,5,12,-1,DISMINUIR
4817246,530632,3,PAO2,,PPS-03,00,14,16,31,2,AUMENTAR
4814933,338574,3,PAO2,,AHM,"6,0",3,1,6,-2,DISMINUIR
4821941,566175,3,PAO2,,VENDA DE BOX,00,5,5,11,0,SIN_CAMBIO
4818852,313106,3,PAO2,,889-1746,39,1,0,2,-1,DISMINUIR
4790652,362949,3,PAO2,,BOLSA GENERO,00,556,290,1064,-266,DISMINUIR
4760688,315425,3,PAO2,,9.55.15,L,6,7,18,1,AUMENTAR
4756403,227543,3,PAO2,,521520013,L,3,2,6,-1,DISMINUIR
4787833,227437,3,PAO2,,5215100152114,00,3,5,10,2,AUMENTAR
4826024,94641,3,PAO2,,2062,41,1,0,2,-1,DISMINUIR
4828383,357487,3,PAO2,,BALON STORM XXV,00,5,4,11,-1,DISMINUIR
4759156,225296,3,PAO2,,5207016198980,00,6,19,27,13,AUMENTAR
4827472,89495,3,PAO2,,2.00.50,00,5,5,11,0,SIN_CAMBIO
4821294,224133,3,PAO2,,520532170,"7,0",2,1,4,-1,DISMINUIR
4827987,518087,3,PAO2,,PELOTA TACA TACA,00,83,30,131,-53,DISMINUIR
4711197,547601,3,PAO2,,SP0040-101,L,10,12,23,2,AUMENTAR
4768159,441242,3,PAO2,,G8242,41,0,1,1,1,AUMENTAR
159821,511267,3,PAO2,,MSAFTOE,00,1,3,5,2,AUMENTAR
4754467,553541,3,PAO2,,SX7670-100,L,19,22,42,3,AUMENTAR
4750887,104368,3,PAO2,,21JS28,37,3,2,6,-1,DISMINUIR
4814262,397422,3,PAO2,,DCA91102-40,37,1,0,2,-1,DISMINUIR
4812542,491379,3,PAO2,,JI6953,00,3,3,7,0,SIN_CAMBIO
4808780,449994,3,PAO2,,GR-NBA-12245,42,2,1,4,-1,DISMINUIR
4780112,124148,3,PAO2,,2714271307,28,3,2,6,-1,DISMINUIR
4817288,547105,3,PAO2,,SJ-3,42,2,2,5,0,SIN_CAMBIO
4771651,474455,3,PAO2,,HT6356,M,6,4,12,-2,DISMINUIR
4820671,296422,3,PAO2,,82223U-090,10,1,0,2,-1,DISMINUIR
4816214,117918,3,PAO2,,25-14,37,4,2,8,-2,DISMINUIR
4780506,5542,7,NICK2,,066143999335,00,13,7,28,-6,DISMINUIR
4780577,16795,7,NICK2,,1014019402,00,80,23,119,-57,DISMINUIR
4790421,540211,7,NICK2,,S20-2A,27,8,7,19,-1,DISMINUIR
4780576,16789,7,NICK2,,1014019401,00,81,88,185,7,AUMENTAR
4821284,490035,7,NICK2,,JD6021,S,5,7,15,2,AUMENTAR
4796840,485936,7,NICK2,,IP3995,S,24,27,52,3,AUMENTAR
4768917,360310,7,NICK2,,BBS-02,00,23,28,54,5,AUMENTAR
4780429,519217,7,NICK2,,PH830,00,93,98,194,5,AUMENTAR
4812815,362970,7,NICK2,,BOLSA REAL,00,861,900,2084,39,AUMENTAR
4780470,89708,7,NICK2,,2.40.32,M,9,16,28,7,AUMENTAR
4822489,529400,7,NICK2,,PIZARRA,00,2,7,10,5,AUMENTAR
4820462,119343,7,NICK2,,252061L-BKPK,32,1,0,2,-1,DISMINUIR
4809587,510420,7,NICK2,,MO22009,00,1,1,3,0,SIN_CAMBIO
4807618,486134,7,NICK2,,IS5399,S,15,15,38,0,SIN_CAMBIO
4770703,16775,7,NICK2,,1014019301,00,86,92,192,6,AUMENTAR
4744021,202786,7,NICK2,,45-1,00,987,3375,4407,2388,AUMENTAR
4806886,391610,7,NICK2,,D-RV-809172,00,4,4,9,0,SIN_CAMBIO
4798177,534652,7,NICK2,,R.10.01,XS,40,7,63,-33,DISMINUIR
4780574,16783,7,NICK2,,1014019313,00,55,53,112,-2,DISMINUIR
4780482,9057,7,NICK2,,1.00.15,00,4,5,10,1,AUMENTAR
4776343,9066,7,NICK2,,1.60.04,00,36,41,79,5,AUMENTAR
4777881,90072,7,NICK2,,2.90.33,00,15,22,41,7,AUMENTAR
4770700,16763,7,NICK2,,1014019202,00,79,82,176,3,AUMENTAR
4770696,16742,7,NICK2,,1014017902,00,98,85,194,-13,DISMINUIR
4828267,510458,7,NICK2,,MO22217,00,26,33,61,7,AUMENTAR
4817928,508539,7,NICK2,,MI3715,"9,0",15,13,30,-2,DISMINUIR
4770699,16762,7,NICK2,,1014019201,00,74,82,181,8,AUMENTAR
4819179,425354,7,NICK2,,FJ2610-300,"3,0",2,1,4,-1,DISMINUIR
4772981,216530,7,NICK2,,5.00.11,00,43,72,116,29,AUMENTAR
4818254,470811,7,NICK2,,HM0283-001,"9,0",5,4,10,-1,DISMINUIR
4797990,16876,7,NICK2,,1014077901,00,36,17,69,-19,DISMINUIR
4819287,427393,7,NICK2,,FQ8333-500,"9,0",1,1,3,0,SIN_CAMBIO
