articulo,productos_afectados,cat_antes(ids),cat_despues,especialidades,genero_migrado,accion
1184,1,1,Zapatos de Vestir,vestir,0,APPLY
2163-108-11853,1,2,Zapatos de Vestir,vestir,0,APPLY
4777-343-6410,1,2,Zapatos de Vestir,vestir,0,APPLY
5230,2,1;2,Zapatos de Vestir,vestir,0,APPLY
7014-129-12583,1,2,Zapatos de Vestir,vestir,0,APPLY
7305-100-12773,1,2,Zapatos de Vestir,vestir,0,APPLY
7305-107-13018,2,2,Zapatos de Vestir,vestir,0,APPLY
7305-107-13018-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
1230,3,87,Zapatos de Vestir,vestir,0,APPLY
1185-102-11566,2,2,Zapatos de Vestir,vestir,0,APPLY
1185-102-11566-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
1185-102-11566-46176,1,2,Zapatos de Vestir,vestir,0,APPLY
1214-205-11808,1,2,Zapatos de Vestir,vestir,0,APPLY
1214-205-11808-66,1,2,Zapatos de Vestir,vestir,0,APPLY
1230-200-11566-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
1230-200-11566,1,2,Zapatos de Vestir,vestir,0,APPLY
1245-101-12784,2,2,Zapatos de Vestir,vestir,0,APPLY
1245-101-12784-16554,1,2,Zapatos de Vestir,vestir,0,APPLY
1253-100-5881-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
1253-100-5881,1,2,Zapatos de Vestir,vestir,0,APPLY
1185102,2,2,Zapatos de Vestir,vestir,0,APPLY
1235-102-5881,1,2,Zapatos de Vestir,vestir,0,APPLY
1781-421-5881,1,2,Zapatos de Vestir,vestir,0,APPLY
1781-421-7286,2,2,Zapatos de Vestir,vestir,0,APPLY
1781-621-11808,1,2,Zapatos de Vestir,vestir,0,APPLY
1235-102-5881-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
1143-309-11566-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
1143-309-8794,1,2,Zapatos de Vestir,vestir,0,APPLY
1143-309-8794-41573,1,2,Zapatos de Vestir,vestir,0,APPLY
1245-102-5881-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
1781-421-5881-28667,1,2,Zapatos de Vestir,vestir,0,APPLY
1781-421-7286-28667,1,2,Zapatos de Vestir,vestir,0,APPLY
1781-621-11808-41,1,2,Zapatos de Vestir,vestir,0,APPLY
2163-108-11853-17165,1,2,Zapatos de Vestir,vestir,0,APPLY
4180-100-11808,2,2,Zapatos de Vestir,vestir,0,APPLY
4180-100-11808-23,1,2,Zapatos de Vestir,vestir,0,APPLY
4180-100-11808-34,1,2,Zapatos de Vestir,vestir,0,APPLY
4180-100-12812,2,2,Zapatos de Vestir,vestir,0,APPLY
4180-100-12812-3,1,2,Zapatos de Vestir,vestir,0,APPLY
4180-100-12836,1,2,Zapatos de Vestir,vestir,0,APPLY
4180-100-12836-1574,1,2,Zapatos de Vestir,vestir,0,APPLY
4180-102-6410,1,2,Zapatos de Vestir,vestir,0,APPLY
4180-102-6410-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
4777-343-6410-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
7014-129-12194-48024,1,2,Zapatos de Vestir,vestir,0,APPLY
7014-129-12583-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
7305-100-12773-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
7305-101-9683-15745,1,2,Zapatos de Vestir,vestir,0,APPLY
1143-309-11566,1,2,Zapatos de Vestir,vestir,0,APPLY
1245-102-5881,2,2,Zapatos de Vestir,vestir,0,APPLY
21281EL,1,4,Equipamiento Fitness,futbol,0,APPLY
213204FM,1,4,Equipamiento Fitness,futbol,0,APPLY
67928100IXL,1,4,Equipamiento Fitness,futbol,0,APPLY
89721101BL,1,4,Equipamiento Fitness,futbol,0,APPLY
985,2,4;12,Equipamiento Fitness,futbol,0,APPLY
EQUIPO23,2,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO24,2,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO25,2,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO26,1,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO27,1,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO28,1,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO29,1,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO30,1,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO31,1,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO32,1,4,Equipamiento Fitness,futbol,0,APPLY
EQUIPO33,1,4,Equipamiento Fitness,futbol,0,APPLY
