articulo,productos_afectados,cat_antes(ids),cat_despues,especialidades,genero_migrado,accion
880355 10,7,24,Medias y Calcetines,,0,APPLY
880355 02,7,24,Medias y Calcetines,,0,APPLY
2220,3,105,Medias y Calcetines,,0,APPLY
3388,3,105,Medias y Calcetines,,0,APPLY
1024,4,105,Medias y Calcetines,,0,APPLY
4107,6,105,Medias y Calcetines,,0,APPLY
149340-BBK,6,23,Zapatillas,"urbano,negro",0,APPLY
5311,3,105,Medias y Calcetines,,0,APPLY
5840,3,105,Medias y Calcetines,,0,APPLY
6140,3,105,Medias y Calcetines,,0,APPLY
1063,2,105,Medias y Calcetines,,0,APPLY
6411,2,24;28,Medias y Calcetines,,0,APPLY
1083,2,105,Medias y Calcetines,,0,APPLY
906807 19,6,24,Medias y Calcetines,,0,APPLY
906978 62,7,24,Medias y Calcetines,,0,APPLY
2102,2,105,Medias y Calcetines,,0,APPLY
1085,3,105,Medias y Calcetines,,0,APPLY
880355 01,7,24,Medias y Calcetines,,0,APPLY
886454 01,7,24,Medias y Calcetines,,0,APPLY
886454 03,7,24,Medias y Calcetines,,0,APPLY
906807 01,7,24,Medias y Calcetines,,0,APPLY
906807 03,5,24,Medias y Calcetines,,0,APPLY
906807 12,7,24,Medias y Calcetines,,0,APPLY
906807 15,7,24,Medias y Calcetines,,0,APPLY
906807 59,7,24,Medias y Calcetines,,0,APPLY
906807 60,6,24,Medias y Calcetines,,0,APPLY
906807 61,6,24,Medias y Calcetines,,0,APPLY
906807 62,7,24,Medias y Calcetines,,0,APPLY
906930 01,6,24,Medias y Calcetines,,0,APPLY
906930 02,7,24,Medias y Calcetines,,0,APPLY
906978 16,7,24,Medias y Calcetines,,0,APPLY
906978 21,11,24,Medias y Calcetines,,0,APPLY
906978 32,7,24,Medias y Calcetines,,0,APPLY
906978 33,5,24,Medias y Calcetines,,0,APPLY
906978 64,7,24,Medias y Calcetines,,0,APPLY
906978 65,7,24,Medias y Calcetines,,0,APPLY
AH7345-801,1,23,Medias y Calcetines,,0,APPLY
GY0158,2,24,Medias y Calcetines,,0,APPLY
JM4755,2,105,Medias y Calcetines,,0,APPLY
MI35209,2,105,Medias y Calcetines,,0,APPLY
MI35212,2,105,Medias y Calcetines,,0,APPLY
303155N-PKMT,5,97,Zapatillas,urbano,0,APPLY
MENPHIS-20,3,32,Tacos,urbano,0,APPLY
PI-161097,1,32,Tacos,urbano,0,APPLY
PI-161099,2,32,Tacos,urbano,0,APPLY
SPAIN-1,1,32,Tacos,urbano,0,APPLY
SPAIN-2,4,32,Tacos,urbano,0,APPLY
2023-1,15,1,Zapatillas,urbano,0,APPLY
117-4,12,1,Zapatos de Vestir,vestir,0,APPLY
117-5,6,1,Zapatos de Vestir,vestir,0,APPLY
658-02,4,1,Zapatillas,urbano,0,APPLY
2023-3,5,1,Zapatillas,urbano,0,APPLY
7-OSCAR-11,6,2,Zapatillas,"urbano,vestir",0,APPLY
AZ254011155-022,2,1,Sandalias y Chalas,urbano,0,APPLY
AZ254011155-553,2,1,Sandalias y Chalas,urbano,0,APPLY
SPCCOMM001,2,1,Zapatillas,urbano,0,APPLY
AZ210011274,4,2,Sandalias y Chalas,"urbano,vestir",0,APPLY
H-190,5,1,Zapatillas,urbano,0,APPLY
SPCCOMM003,2,1,Zapatillas,urbano,0,APPLY
SPCCOMM006,2,1,Zapatillas,urbano,0,APPLY
H-186,5,1,Zapatillas,urbano,0,APPLY
36-PARATI-10,3,1,Zapatillas,urbano,0,APPLY
H-189,5,1,Zapatillas,urbano,0,APPLY
H-187,5,1,Zapatillas,urbano,0,APPLY
SPCOUNH023,2,1,Zapatillas,trekking,0,APPLY
7-DECO-11,3,2,Zapatillas,"urbano,vestir",0,APPLY
H-185,5,1,Zapatillas,urbano,0,APPLY
2712ST012010,2,98,Botas,"urbano,vestir",0,APPLY
321402,3,1,Zapatillas,urbano,0,APPLY
321802,5,1,Zapatillas,urbano,0,APPLY
322202,4,1,Zapatillas,urbano,0,APPLY
36-MATTER-20,2,2,Zapatillas,"urbano,vestir",0,APPLY
57-MONACO-1,4,1,Zapatillas,urbano,0,APPLY
7-WINDY-2,2,2,Zapatillas,"urbano,vestir",0,APPLY
5Y13-1A,4,86,Botas,,0,APPLY
180745-12,3,86,Botas,vestir,0,APPLY
5Y23-1,5,86,Botas,,0,APPLY
KC122A6030,3,1,Botas,,0,APPLY
KP042,6,1,Botines,,0,APPLY
MKICFW22005,2,86,Botas,,0,APPLY
373-0020,2,86,Botas,,2,APPLY
QM2032,4,86,Botas,,0,APPLY
180745-03,3,86,Botas,vestir,0,APPLY
KP031A60036,3,1,Botas,,0,APPLY
1-PLATAFORM30,4,86,Botas,vestir,0,APPLY
KN102A60036,3,1,Botas,,0,APPLY
KP212A60036,2,1,Botas,,0,APPLY
PF02542,6,1,Botas,,0,APPLY
9837,2,86,Botas,vestir,0,APPLY
BBACFW22005,2,86,Botas,,0,APPLY
KN102A60010,3,1,Botas,,0,APPLY
KP001A60010,3,1,Botas,,0,APPLY
KP022A60010,3,1,Botas,,0,APPLY
PF00449,8,1,Botas,,0,APPLY
PF036AP075,3,1,Botas,,0,APPLY
2203-11,2,86,Botas,,0,APPLY
275-0970,4,86,Botas,vestir,0,APPLY
WF00124,4,1,Botas,,0,APPLY
5Y13-21,2,86,Botas,,0,APPLY
KN102A60022,3,1,Botas,,0,APPLY
KP031A60010,3,1,Botas,,0,APPLY
KP112A6027B,2,1,Botas,,0,APPLY
PF036AP45B,3,1,Botas,,0,APPLY
PX018AP075-F,2,1,Botas,urbano,0,APPLY
2178.106.23580-15745,2,86,Botas,,0,APPLY
3091.104.27438-95611,2,86,Botas,,0,APPLY
20-DREW-2,4,86,Botas,,0,APPLY
38-DREAM-7,2,86,Botas,vestir,0,APPLY
BF07931,2,1,Botas,,0,APPLY
PA042A60672-F,2,1,Botas,urbano,0,APPLY
PE015A6004R-F,4,1,Botas,urbano,0,APPLY
2178.106.23580-35312,2,86,Botas,,0,APPLY
224-0311,3,86,Botas,vestir,0,APPLY
275-0817,4,86,Botas,vestir,0,APPLY
2839,2,86,Botas,vestir,0,APPLY
3091.104.27438-95609,2,86,Botas,,0,APPLY
38-DREAM-6,2,86,Botas,vestir,0,APPLY
4K47-1,3,86,Botas,,0,APPLY
WD05824,2,1,Botas,,0,APPLY
7-J246,2,86,Botas,,0,APPLY
KN111A60010,3,1,Botas,,0,APPLY
KP112A60036,2,1,Botas,,0,APPLY
MIACFW22007,2,86,Botas,,0,APPLY
MKACFW22011,3,86,Botas,,0,APPLY
21JS83,3,86,Botas,,0,APPLY
21JS88,3,86,Botas,,0,APPLY
275-2908,2,86,Botas,vestir,0,APPLY
2955,6,86,Botas,vestir,0,APPLY
2955 505,2,86,Botas,vestir,0,APPLY
2956 602,2,86,Botas,vestir,0,APPLY
2956 605,3,86,Botas,vestir,0,APPLY
3049.247.20081-15745,2,86,Botas,,0,APPLY
36-TRAFFA-50,2,86,Botas,,0,APPLY
38-FUSION-5,4,86,Botas,,0,APPLY
38-WEEK-1,2,86,Botas,,0,APPLY
WD041,3,1,Botines,,0,APPLY
WD073,4,1,Zapatillas,urbano,0,APPLY
WF00424,4,1,Botas,,0,APPLY
WF03624,2,1,Botas,,0,APPLY
YZR-52,4,86,Botas,,0,APPLY
984002,4,86,Botas,vestir,0,APPLY
984008,3,86,Botas,vestir,0,APPLY
PH251AP016,1,1,Botas,urbano,0,APPLY
PL220SU08A,1,1,Botas,urbano,0,APPLY
PL227APOFO,1,1,Botas,urbano,0,APPLY
PM256AP04R,1,1,Botas,urbano,0,APPLY
PQ203AP04R,1,1,Botas,urbano,0,APPLY
PQ205AP04R,1,1,Botas,urbano,0,APPLY
PS214APOPT,1,1,Botas,urbano,0,APPLY
PX028S7003-F6,1,1,Botas,urbano,0,APPLY
PV049A60COG-F,2,1,Botas,,0,APPLY
PV008APA04-F6,1,1,Botas,urbano,0,APPLY
KN033,4,1,Botines,,0,APPLY
8-TANDA-200,2,86,Botas,vestir,0,APPLY
983705,2,86,Botas,vestir,0,APPLY
983711,2,86,Botas,vestir,0,APPLY
983811,2,86,Botas,vestir,0,APPLY
CRICFW22007,2,86,Botas,,0,APPLY
HKICFW22003,2,86,Botas,,0,APPLY
HKICFW22004,2,86,Botas,,0,APPLY
KA172A60022,3,1,Botas,,0,APPLY
KA172A6030B,3,1,Botas,,0,APPLY
KN111A60036,3,1,Botas,,0,APPLY
MKACFW22015,2,86,Botas,,0,APPLY
PA0030A8BLU-F,2,1,Botas,urbano,0,APPLY
PA003AP04R-F,3,1,Botas,urbano,0,APPLY
PA004,1,1,Zapatillas,urbano,0,APPLY
PA026A60NAV-F,3,1,Botas,urbano,0,APPLY
PA030A80A94-F,2,1,Botas,urbano,0,APPLY
PA030AP016-F,1,1,Botas,urbano,0,APPLY
PA042A6008A-F,2,1,Botas,urbano,0,APPLY
PA043A6008A-F,2,1,Botas,urbano,0,APPLY
PA050APO4R-F,1,1,Botas,urbano,0,APPLY
PA050APO4R-F6,2,1,Botas,urbano,0,APPLY
PA050APOPT-F6,2,1,Botas,urbano,0,APPLY
PA063A60NAV-F,3,1,Botas,urbano,0,APPLY
PA064A6024B-F,3,1,Botas,urbano,0,APPLY
PA064A60NAV-F,2,1,Botas,urbano,0,APPLY
PD023,1,1,Zapatos de Vestir,urbano,0,APPLY
PD041A60075-F,2,1,Botas,urbano,0,APPLY
PD042A6046B,2,1,Botas,,0,APPLY
PD042A60A94-F,3,1,Botas,urbano,0,APPLY
PD042A60NAV,3,1,Botas,,0,APPLY
PD045A60075-F,2,1,Botas,,0,APPLY
PD045A60672-F,2,1,Botas,,0,APPLY
PD061A6008A-F,2,1,Botas,urbano,0,APPLY
PE008A60672-F,3,1,Botas,,0,APPLY
PE008A60NAV-F,4,1,Botas,,0,APPLY
PE015,1,1,Zapatillas,urbano,0,APPLY
PE019A600K7-F,3,1,Botas,urbano,0,APPLY
PE019A600PT-F,3,1,Botas,urbano,0,APPLY
PF00856,2,1,Botas,,0,APPLY
PM256AA6002X-F,3,1,Botas,urbano,0,APPLY
PM256AA6004R-F,3,1,Botas,urbano,0,APPLY
PM256AAP016-F,1,1,Botas,urbano,0,APPLY
PM256AAP016-F6,2,1,Botas,urbano,0,APPLY
PM256AAP04R,1,1,Botas,urbano,0,APPLY
PM256AAP04R-F6,1,1,Botas,urbano,0,APPLY
PM256AAP075-F6,2,1,Botas,urbano,0,APPLY
PQ212AP04R,1,1,Botas,urbano,0,APPLY
PQ226APA04,2,1,Botas,urbano,0,APPLY
PS216APOK7,2,1,Botas,urbano,0,APPLY
PV014AP04R,2,1,Botas,urbano,0,APPLY
PV022AP075-F6,2,1,Botas,urbano,0,APPLY
PV055A60010,3,1,Botas,,0,APPLY
PW010AP0K7,2,1,Botas,urbano,0,APPLY
PW012AC04RF,1,1,Botas,urbano,0,APPLY
PW036AP04R,2,1,Botas,urbano,0,APPLY
PW036AP075,1,1,Botas,urbano,0,APPLY
